step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
59506688,18.2436,78.33,3.77,14.94,2.83
59637760,18.3586,77.27,3.35,15.48,3.77
59768832,16.6339,75.26,4.84,16.23,3.53
59899904,17.423,77.25,4.85,14.8,3.1
60030976,17.3834,75.53,3.82,18.29,1.97
60162048,16.0861,73.55,5.39,17.5,3.29
60293120,17.7008,77.15,4.36,15.59,2.38
60424192,18.1628,76.74,3.62,15.5,3.23
60555264,18.7638,77.09,2.88,16.46,3.29
60686336,17.6766,77.42,5.16,14.19,2.97
60817408,18.5579,77.22,2.96,17.12,2.32
60948480,17.3019,76.74,4.93,15.17,2.91
61079552,17.2386,76.58,4.12,16.22,2.57
61210624,17.7429,76.3,4.69,16.86,1.9
61341696,16.3471,74.91,5.16,15.85,2.88
61472768,18.3418,77.79,3.89,15.56,2.26
61603840,17.987,76.98,3.84,16.07,2.76
61734912,17.8354,77.44,4.0,15.51,2.23
61865984,16.4964,74.62,4.97,17.73,2.04
61997056,17.6582,76.24,4.19,15.84,3.28
62128128,19.7797,81.11,3.31,13.58,1.89
62259200,18.2897,77.69,3.7,16.07,1.5
62390272,18.5713,77.49,2.91,17.47,1.68
62521344,17.6033,74.84,4.01,19.41,1.19
62652416,17.0426,75.49,4.9,17.77,1.23
62783488,18.3269,77.18,3.79,16.51,2.31
62914560,19.1006,78.8,2.95,15.74,2.19
63045632,17.727,75.52,4.3,17.75,1.87
63176704,17.7862,76.27,3.92,16.47,2.53
63307776,17.0899,76.93,5.38,15.79,1.34
63438848,17.2883,77.4,5.45,15.87,1.16
63569920,18.1068,77.33,4.34,15.47,2.01
63700992,17.0196,74.5,4.57,18.28,2.13
63832064,17.7355,77.27,4.86,15.12,2.01
63963136,18.2033,76.82,3.85,17.09,1.39
64094208,17.5227,75.7,4.36,18.28,0.93
64225280,17.7377,77.86,4.32,15.01,1.4
64356352,18.5387,78.15,4.19,15.01,2.43
64487424,17.7848,76.2,4.17,17.29,2.03
64618496,17.501,77.13,4.89,15.21,2.13
64749568,18.3526,78.13,3.59,16.76,1.09
64880640,18.3187,78.24,4.19,15.93,0.92
65011712,18.5431,78.02,4.2,16.59,0.97
65142784,16.613,75.62,5.19,16.38,2.2
65273856,17.4709,74.7,4.3,18.8,1.9
65404928,18.3274,77.68,3.97,16.52,1.07
65536000,17.9649,77.85,4.39,15.99,1.15
65667072,17.9326,78.29,4.11,14.4,1.94
65798144,18.6273,79.18,3.87,14.33,1.78
65929216,18.1857,78.11,4.42,16.14,1.03
66060288,18.6327,76.97,3.17,18.42,1.02
66191360,18.328,79.44,4.96,13.95,1.14
66322432,18.977,79.54,4.21,14.84,0.8
66453504,17.9095,78.75,5.53,14.33,0.79
66584576,17.3108,76.36,4.53,17.0,1.21
66715648,17.2463,76.1,5.21,16.85,1.23
66846720,17.6001,77.59,5.08,15.35,1.35
66977792,17.1416,76.74,5.59,16.09,0.98
67108864,17.9675,76.53,3.98,17.85,0.97
67239936,18.287,79.48,4.02,14.99,1.01
67371008,18.2622,78.03,3.81,16.95,0.7
67502080,18.241,77.51,4.28,16.22,1.19
67633152,18.0751,78.04,4.29,16.37,1.1
67764224,17.0861,75.65,5.21,17.84,0.9
67895296,18.2793,79.42,4.53,14.09,1.23
68026368,19.5282,80.0,3.46,15.38,0.77
68157440,17.6761,77.47,4.41,16.06,1.76
68288512,18.5684,77.45,3.84,17.66,0.67
68419584,19.0347,80.43,4.03,14.42,0.47
68550656,18.0326,77.15,4.99,16.07,1.4
68681728,18.1294,77.73,5.08,15.6,0.85
68812800,18.384,77.66,4.47,16.63,0.76
68943872,18.2406,77.75,4.34,16.38,0.67
69074944,18.8013,80.12,4.43,14.07,0.79
69206016,17.2084,75.83,5.0,17.19,1.42
69337088,18.348,77.31,4.33,17.14,0.66
69468160,17.3595,74.59,4.37,19.95,0.64
69599232,17.7718,77.42,4.98,15.6,1.63
69730304,18.9203,78.7,4.34,15.65,0.66
69861376,18.5949,77.71,3.27,17.48,1.15
